name,ingredients,time,budget,description,link
Pancakes,"Flour, Milk, Eggs, Sugar, Baking powder, Butter",<10 minutes,<$5,"Classic breakfast pancakes, light and fluffy.",https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/
Chicken Stir Fry,"Chicken breast, Soy sauce, Vegetables, Garlic, Ginger",20 to 30 minutes,$10 to $15,Healthy and quick stir-fried chicken with veggies.",https://www.allrecipes.com/recipe/223382/chicken-stir-fry/
Brownies,"Cocoa powder, Sugar, Eggs, Butter, Flour",20 to 30 minutes,<$5,Rich and fudgy brownies for dessert lovers.,https://www.allrecipes.com/recipe/10549/best-brownies/
Vegetable Soup,"Carrots, Potatoes, Celery, Onion, Vegetable broth",10 to 20 minutes,<$5,Comforting and nutritious vegetable soup.,https://www.allrecipes.com/recipe/13338/quick-and-easy-vegetable-soup/
Grilled Cheese Sandwich,"Bread, Cheese, Butter",<10 minutes,<$5,Quick and delicious grilled cheese sandwich.,https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/
Tacos,"Tortillas, Ground beef, Lettuce, Cheese, Salsa",10 to 20 minutes,$5 to $10,Easy-to-make tacos with fresh ingredients.,https://feelgoodfoodie.net/recipe/ground-beef-tacos-napa-cabbage-guacamole/
Caesar Salad,"Romaine lettuce, Croutons, Parmesan, Caesar dressing",<10 minutes,<$5,A classic Caesar salad with crisp romaine and tangy dressing.,https://www.allrecipes.com/recipe/229063/classic-restaurant-caesar-salad/
Scrambled Eggs,"Eggs, Milk, Butter, Salt, Pepper",<10 minutes,<$5,Quick and fluffy scrambled eggs.,https://www.allrecipes.com/recipe/256007/best-scrambled-eggs/
Chili Con Carne,"Ground beef, Beans, Tomato sauce, Onion, Chili powder",20 to 30 minutes,$10 to $15,A hearty and flavorful chili dish.,https://www.allrecipes.com/recipe/89993/award-winning-chili-con-carne/
Banana Smoothie,"Bananas, Milk, Honey, Ice, Peanut",<10 minutes,<$5,Refreshing and healthy banana smoothie.,https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/
Baked Salmon,"Salmon fillet, Lemon, Garlic, Olive oil, Dill",20 to 30 minutes,$10 to $15,Delicious baked salmon with a lemon-garlic glaze.,https://www.allrecipes.com/recipe/34746/baked-salmon-ii/
Omelette,"Eggs, Cheese, Vegetables, Salt, Pepper",<10 minutes,<$5,Quick and customizable breakfast omelette.,https://www.youtube.com/watch?v=j0klip4kwBI
French Toast,"Bread, Eggs, Milk, Cinnamon, Sugar",10 to 20 minutes,<$5,Sweet and comforting French toast.,https://www.allrecipes.com/recipe/7016/french-toast-i/
Mac and Cheese,"Macaroni, Cheese, Milk, Butter, Flour",10 to 20 minutes,$5 to $10,Creamy and cheesy comfort food.,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/
Chicken Caesar Wrap,"Chicken breast, Romaine lettuce, Caesar dressing, Tortilla, Parmesan",10 to 20 minutes,$5 to $10,A quick and delicious wrap filled with Caesar salad and chicken.,https://www.allrecipes.com/recipe/228429/chicken-caesar-wrap/
